,ApplicantEducationID,ApplicantID,DateStart,DateEnd,EducationInstituteName,Score,EducationLevelID,MajorID,Degree
6676,9737,28958,2015-08-01 00:00:00.0000000,2019-12-01 00:00:00.0000000,UNIKA SOEGIJAPRANATA,3.1,2,3.0,True
6677,9738,28962,2012-07-01 00:00:00.0000000,2015-06-01 00:00:00.0000000,SMK NEGERI 40 JAKARTA,79.9,6,2.0,False
6678,9740,28964,2015-08-01 00:00:00.0000000,2019-12-01 00:00:00.0000000,UNIVERSITAS GUNADARMA,3.16,2,3.0,True
6679,9741,28968,2015-07-01 00:00:00.0000000,2018-06-01 00:00:00.0000000,SMK NEGERI 9 KOTA BEKASI,278.0,6,14.0,False
6680,9742,28970,2018-06-01 00:00:00.0000000,2015-01-01 00:00:00.0000000,UNIVERSITAS PADJADJARAN,361.0,2,,True
6681,9743,28683,2000-06-01 00:00:00.0000000,2006-06-01 00:00:00.0000000,MADRASAH IBTIDAIYAH KEBONSARI,8.5,8,,True
6682,9744,28683,2006-06-01 00:00:00.0000000,2009-06-01 00:00:00.0000000,SMP NEGERI 1 PUCUK ,9.1,7,,True
6683,9745,28683,2009-06-01 00:00:00.0000000,1012-06-01 00:00:00.0000000,SMA NEGERI 1 SUKODADI,9.5,5,13.0,True
6684,9746,28683,2013-06-01 00:00:00.0000000,2017-06-01 00:00:00.0000000,UNIVERSITAS ISLAM LAMONGAN,2.81,2,4.0,True
6685,9747,28976,2008-06-01 00:00:00.0000000,2011-06-01 00:00:00.0000000,SMAN 48 JAKARTA TIMUR,7.8,5,13.0,False
6686,9748,28978,2007-08-01 00:00:00.0000000,2010-08-01 00:00:00.0000000,SMK SAHID ,7.38,6,1.0,True
6687,9749,28983,2006-07-01 00:00:00.0000000,2011-04-01 00:00:00.0000000,SANATA DHARMA,301.0,2,2.0,True
6688,9750,28983,2006-07-01 00:00:00.0000000,2011-04-01 00:00:00.0000000,SANATA DHARMA,301.0,2,2.0,True
6689,9751,28984,2010-09-01 00:00:00.0000000,2016-09-01 00:00:00.0000000,UNIVERSITAS LAMPUNG,3.17,2,2.0,True
6690,9752,28989,2012-08-01 00:00:00.0000000,2015-09-01 00:00:00.0000000,UNIVERSITAS PANCASILA,3.25,4,2.0,True
6691,9753,28990,2011-07-01 00:00:00.0000000,2014-10-01 00:00:00.0000000,AKADEMI PIMPINAN PERUSAHAAN,2.91,4,17.0,True
6692,9754,28993,2014-08-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,UNIVERSITAS TELKOM,31.0,2,14.0,True
6693,9755,28992,2012-08-01 00:00:00.0000000,2019-08-01 00:00:00.0000000,UNIVERSITAS NEGERI SURABAYA,3.29,2,8.0,False
6694,9756,29000,2009-01-01 00:00:00.0000000,2013-03-01 00:00:00.0000000,BUDI LUHUR,322.0,2,2.0,True
6695,9757,28998,2005-07-01 00:00:00.0000000,2010-03-01 00:00:00.0000000,STIE PARIPURNA,3.0,2,17.0,True
6696,9758,29004,2015-09-01 00:00:00.0000000,2019-11-01 00:00:00.0000000,UNIVERSITAS KRISTEN INDONESIA,332.0,2,10.0,True
6697,9759,29005,2009-06-01 00:00:00.0000000,2012-06-01 00:00:00.0000000,POLITEKNIK NEGERI JAKARTA,33.0,4,14.0,True
6698,9760,29006,2014-08-01 00:00:00.0000000,2018-04-01 00:00:00.0000000,UNIVERSITAS KATOLIK WIDYAMANDALA SURABAYA,279.0,4,2.0,False
6699,9761,29012,2007-06-01 00:00:00.0000000,2012-05-01 00:00:00.0000000,BHAYANGKARA SURABAYA,3.22,2,2.0,True
6700,9762,29016,2008-08-01 00:00:00.0000000,2012-05-01 00:00:00.0000000,INSTITUT MANAJEMENT KOPERASI INDONESIA,3.45,2,17.0,True
6701,9763,29034,2015-07-01 00:00:00.0000000,2018-04-01 00:00:00.0000000,SMA NEGERI 01 SLAHUNG,79.0,5,13.0,True
6702,9764,29029,2006-05-01 00:00:00.0000000,2010-10-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,2.55,4,1.0,True
6703,9765,29033,2004-07-01 00:00:00.0000000,2007-07-01 00:00:00.0000000,SMA NEGERI 7 JAKARTA,16.7,5,15.0,True
6704,9766,29037,2014-08-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS GUNADARMA,3.07,2,16.0,True
6705,9767,29038,2009-09-01 00:00:00.0000000,2014-03-01 00:00:00.0000000,UNIVERSITAS DIPONEGORO,304.0,2,7.0,True
6706,9768,28939,2012-08-01 00:00:00.0000000,2017-02-01 00:00:00.0000000,IPB,2.75,2,7.0,True
6707,9769,29044,2002-07-01 00:00:00.0000000,2008-06-01 00:00:00.0000000,SDN 22 PEJATEN TIMUR,20.6,8,,True
6708,9770,29044,2008-07-01 00:00:00.0000000,2011-06-01 00:00:00.0000000,SMPN 10 BEKASI,7.4,7,,True
6709,9771,29044,2011-07-01 00:00:00.0000000,2014-06-01 00:00:00.0000000,SMK BINAKARYA MANDIRI,7.6,6,16.0,True
6710,9772,29044,2017-01-01 00:00:00.0000000,2021-01-01 00:00:00.0000000,UNIVERSITAS MERCUBUANA,3.04,2,3.0,False
6711,9773,29047,2011-06-01 00:00:00.0000000,2014-06-01 00:00:00.0000000,SMK BUDI MURNI 4,24.5,6,,True
6712,9774,29047,2008-06-01 00:00:00.0000000,2011-06-01 00:00:00.0000000,171 JAKARTA,23.04,7,,True
6713,9775,29047,2002-06-01 00:00:00.0000000,2008-06-01 00:00:00.0000000,KDW 03 PAGI,22.09,8,,True
6714,9776,29057,2014-09-01 00:00:00.0000000,2018-10-01 00:00:00.0000000,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,3.4,2,10.0,True
6715,9777,29056,2015-08-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,UNIVERSITAS ATMA JAYA YOGYAKARTA,328.0,2,10.0,True
6716,9778,29008,2008-09-01 00:00:00.0000000,2012-09-01 00:00:00.0000000,UNIVERSITAS TRISAKTI,3.04,2,17.0,True
6717,9779,25957,2016-09-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS BINA SARANA INFORMATIKA,2.92,4,4.0,False
6718,9780,29067,2010-07-01 00:00:00.0000000,2014-01-01 00:00:00.0000000,UNIVERSITAS INDONESIA,3.47,2,10.0,True
6719,9781,29069,2015-08-01 00:00:00.0000000,2020-12-01 00:00:00.0000000,UNIVERSITAS PERSADA INDONESIA,3.0,2,10.0,False
6720,9782,29068,2016-09-01 00:00:00.0000000,2019-06-01 00:00:00.0000000,UNIVERSITAS JENDERAL SOEDIRMAN,376.0,2,10.0,True
6721,9783,28982,2014-09-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS PERSADA INDONESIA YAI,2.83,2,10.0,True
6722,9784,29073,1993-06-01 00:00:00.0000000,1997-06-01 00:00:00.0000000,"NUCLEAR TECHNICIAN SCHOOL,  NATIONAL ATOMIC ENERGY AGENCY OF INDONESIAN",3.06,4,9.0,True
6723,9785,29078,2014-07-01 00:00:00.0000000,2019-02-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,2.82,2,20.0,True
6724,9786,29074,2015-09-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,BUDI LUHUR,3.5,2,18.0,True
6725,9787,29081,2017-01-01 00:00:00.0000000,2019-01-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,311.0,1,6.0,True
6726,9788,29081,2012-01-01 00:00:00.0000000,2016-01-01 00:00:00.0000000,UNIVERSITAS BRAWIJAYA,312.0,2,6.0,True
6727,9789,29082,2015-09-01 00:00:00.0000000,2019-10-01 00:00:00.0000000,UNIVERSITAS WIRARAJA SUMENEP,3.6,2,17.0,True
6728,9790,29084,2007-08-01 00:00:00.0000000,2012-01-01 00:00:00.0000000,SEKOLAH TINGGI DESAIN INTERSTUDI,336.0,2,14.0,False
6729,9791,29087,2014-09-01 00:00:00.0000000,2018-10-01 00:00:00.0000000,STMIK MIKROSKIL,318.0,2,21.0,True
6730,9792,29089,2015-09-01 00:00:00.0000000,2019-10-01 00:00:00.0000000,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,347.0,2,3.0,True
6731,9793,29090,2013-02-01 00:00:00.0000000,2017-02-01 00:00:00.0000000,SMK AN-NUR KLAPANUNGGAL,478.0,6,7.0,False
6732,9794,29091,2012-07-01 00:00:00.0000000,2015-06-01 00:00:00.0000000,SMK 11 MARET JAKARTA,7.5,6,5.0,False
6733,9795,29091,2017-09-01 00:00:00.0000000,2021-09-01 00:00:00.0000000,UNIVERSITAS MERCU BUANA MENTENG,3.26,2,17.0,False
6734,9796,29095,2014-08-01 00:00:00.0000000,2016-08-01 00:00:00.0000000,UNIVERSITAS INDONESIA,3.4,1,6.0,True
6735,9797,29014,2011-08-01 00:00:00.0000000,2015-02-01 00:00:00.0000000,UNIVERSITAS ATMA JAYA YOGYAKARTA,3.32,2,6.0,True
6736,9798,29014,2015-09-01 00:00:00.0000000,2017-02-01 00:00:00.0000000,UNIVERSITAS ATMA JAYA YOGYAKARTA,3.83,1,6.0,True
6737,9799,29096,2013-09-01 00:00:00.0000000,2015-06-01 00:00:00.0000000,UNIVERSITAS GADJAHMADA,3.64,1,6.0,True
6738,9800,29096,2007-09-01 00:00:00.0000000,2011-06-01 00:00:00.0000000,UNIVERSITAS DIPONEGORO,3.45,2,6.0,True
6739,9801,29101,2013-07-01 00:00:00.0000000,2016-06-01 00:00:00.0000000,SMK PGRI 11 CILEDUG,8.52,6,5.0,False
6740,9802,29095,1997-08-01 00:00:00.0000000,2003-02-01 00:00:00.0000000,UNIVERSITAS PARAHYANGAN,3.0,2,6.0,False
6741,9803,29103,2016-08-01 00:00:00.0000000,2020-01-01 00:00:00.0000000,UNIVERSITAS TARUMANAGARA ,3.42,2,10.0,True
6742,9804,29104,2016-06-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS NEGERI JAKARTA,3.55,4,10.0,True
6743,9805,29099,2004-06-01 00:00:00.0000000,2009-08-01 00:00:00.0000000,UNIVERSITAS SURABAYA,3.1,2,6.0,True
6744,9806,29099,2011-04-01 00:00:00.0000000,2014-02-01 00:00:00.0000000,STTB BETHANY,3.8,1,15.0,True
6745,9807,29105,2015-09-01 00:00:00.0000000,2019-10-01 00:00:00.0000000,UNIVERSITAS DARMA PERSADA,3.76,2,17.0,True
6746,9808,29111,2014-09-01 00:00:00.0000000,2019-11-01 00:00:00.0000000,KRISNADWIPAYANA UNIVERSITY,3.5,2,17.0,True
6747,9809,20019,2014-03-01 00:00:00.0000000,2016-08-01 00:00:00.0000000,TAMA JAGAKARSA,380.0,1,6.0,True
6748,9810,20019,2009-03-01 00:00:00.0000000,2014-10-01 00:00:00.0000000,TRISAKTI,309.0,2,6.0,True
6749,9811,29116,2011-09-01 00:00:00.0000000,2016-02-01 00:00:00.0000000,UNIVERSITAS GADJAH MADA,3.1,2,15.0,True
6750,9812,29117,2015-08-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS TRUNOJOYO MADURA,3.51,2,2.0,True
6751,9813,29119,2015-09-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3.57,2,15.0,False
6752,9814,29132,2012-08-01 00:00:00.0000000,2016-10-01 00:00:00.0000000,UNIVERSITAS PASUNDAN,3.28,2,10.0,True
6753,9815,29130,2016-08-01 00:00:00.0000000,2020-01-01 00:00:00.0000000,UNIVERSITAS TARUMANAGARA,3.62,2,10.0,True
6754,9816,29141,1992-06-01 00:00:00.0000000,1995-06-01 00:00:00.0000000,UKRIDA,2.75,2,2.0,False
6755,9817,29147,2012-12-01 00:00:00.0000000,2014-07-01 00:00:00.0000000,UNIVERSITAS DIPONEGORO,3.52,1,6.0,True
6756,9818,29147,2008-09-01 00:00:00.0000000,2012-08-01 00:00:00.0000000,UNIVERSITAS LAMPUNG,3.14,2,6.0,True
6757,9819,29148,2011-09-01 00:00:00.0000000,2012-08-01 00:00:00.0000000,UNIVERSITEIT LEIDEN,6.5,1,6.0,True
6758,9820,29148,2006-10-01 00:00:00.0000000,2010-04-01 00:00:00.0000000,UNIVERSITAS TRISAKTI,3.21,2,6.0,True
6759,9821,29150,2015-03-01 00:00:00.0000000,2018-10-01 00:00:00.0000000,UNIVERSITAS GAJAH MASA,3.5,1,6.0,True
6760,9822,29149,2015-09-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,UNIVERSITAS YARSI,3.39,2,2.0,True
6761,9823,29150,2009-07-01 00:00:00.0000000,2013-03-01 00:00:00.0000000,UNIVERSITAS GADJAH MADA,3.4,2,6.0,True
6762,9824,29152,2013-08-01 00:00:00.0000000,2015-07-01 00:00:00.0000000,UNIVERSITY OF INDONESIA,3.51,1,6.0,True
6763,9825,29152,2007-07-01 00:00:00.0000000,2010-12-01 00:00:00.0000000,UNIVERSITY OF SUMATERA UTARA,3.73,2,6.0,True
6764,9826,29156,2015-08-01 00:00:00.0000000,2019-08-01 00:00:00.0000000,UNIVERSITAS DR. SOETOMO SURABAYA,3.57,2,2.0,True
6765,9827,29157,2014-09-01 00:00:00.0000000,2018-10-01 00:00:00.0000000,GUNADARMA,320.0,2,8.0,True
6766,9828,29162,2009-08-01 00:00:00.0000000,2014-01-01 00:00:00.0000000,UNIVERSITAS ISLAM INDONESIA,3.4,2,7.0,True
6767,9829,29164,1996-06-01 00:00:00.0000000,2003-02-01 00:00:00.0000000,ITB,275.0,2,18.0,True
6768,9830,29181,2015-08-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,UNIVERSITAS SURABAYA,2.797,2,2.0,True
6769,9831,29181,2012-07-01 00:00:00.0000000,2015-05-01 00:00:00.0000000,SMA TRIMURTI,81.0,5,13.0,True
6770,9832,28888,2016-08-01 00:00:00.0000000,2018-10-01 00:00:00.0000000,THE LONDON SCHOOL OF PUBLIC RELATIONS,3.34,1,10.0,True
6771,9833,28888,2013-08-01 00:00:00.0000000,2017-08-01 00:00:00.0000000,THE LONDON SCHOOL OF PUBLIC RELATIONS,3.25,2,10.0,True
6772,9834,29185,2014-08-01 00:00:00.0000000,2018-12-01 00:00:00.0000000,UNIVERSITAS NEGERI MALANG,3.08,2,3.0,True
6773,9835,29182,2015-07-01 00:00:00.0000000,2017-07-01 00:00:00.0000000,SMK COR JESU MALANG,80.0,6,1.0,False
