,PipelineID,ApplicantID,JobID,StageID
14961,22044,43052,2806,10
14962,22045,43113,2837,10
14963,22046,29519,2800,10
14964,22047,42954,2837,10
14965,22048,43114,2704,10
14966,22049,43115,2840,10
14967,22050,43116,2837,10
14968,22051,43117,2837,10
14969,22052,43117,2822,9
14970,22053,43118,2770,10
14971,22054,43119,2750,10
14972,22055,43119,2839,10
14973,22056,43120,2831,10
14974,22057,43121,2837,10
14975,22058,43053,2839,11
14976,22059,43122,2704,10
14977,22060,43123,2843,10
14978,22061,43123,2842,10
14979,22062,43124,2842,10
14980,22063,43125,2842,10
14981,22064,43126,2840,11
14982,22065,43127,2765,10
14983,22066,43128,2843,10
14984,22067,43129,2837,10
14985,22068,43130,2784,10
14986,22069,43131,2841,10
14987,22070,43132,2765,10
14988,22071,43133,2770,10
14989,22072,43134,2842,10
14990,22073,43135,2759,10
14991,22074,43136,2841,10
14992,22075,43137,2770,10
14993,22076,43137,2765,10
14994,22077,43137,2824,10
14995,22078,43135,2839,11
14996,22079,43138,2814,10
14997,22080,43138,2837,10
14998,22081,43139,2837,10
14999,22082,43140,2785,10
15000,22083,43141,2837,10
15001,22084,43142,2740,10
15002,22085,43141,2824,10
15003,22086,43143,2770,10
15004,22087,43122,2740,10
15005,22088,43122,2843,10
15006,22089,34985,2841,10
15007,22090,42791,2841,10
15008,22091,43144,2823,6
15009,22092,43145,2839,11
15010,22093,43146,2753,10
15011,22094,43147,2769,10
15012,22095,43148,2841,6
15013,22096,43149,2775,10
15014,22097,43150,2841,10
15015,22098,43151,2704,10
15016,22099,43004,2841,6
15017,22100,37005,2837,10
15018,22101,37005,2822,9
15019,22102,43152,2841,11
15020,22103,43153,2775,10
15021,22104,43154,2841,10
15022,22105,43154,2843,10
15023,22106,43155,2704,10
15024,22107,43156,2837,10
15025,22108,43156,2822,9
15026,22109,43157,2769,10
15027,22110,43158,2704,10
15028,22111,43159,2837,10
15029,22112,43159,2814,10
15030,22113,43160,2704,10
15031,22114,43161,2837,10
15032,22115,43161,2841,10
15033,22116,43162,2804,10
15034,22117,30107,2842,10
15035,22118,43163,2841,10
15036,22119,43164,2842,10
15037,22120,43157,2843,11
15038,22121,43165,2785,10
15039,22122,43166,2770,11
15040,22123,43167,2831,10
15041,22124,43168,2798,10
15042,22125,43120,2798,10
15043,22126,43169,2806,10
15044,22127,43169,2757,10
15045,22128,43170,2765,6
15046,22129,11590,2765,11
15047,22130,43135,2845,11
15048,22131,21632,2847,10
15049,22132,43143,2847,10
15050,22133,43171,2765,6
15051,22134,43118,2847,10
15052,22135,43172,2785,10
15053,22136,43173,2847,10
15054,22137,43173,2842,10
15055,22138,43173,2701,10
15056,22139,43174,2837,10
15057,22140,11077,2837,7
15058,22141,11077,2822,10
15059,22142,11077,2814,10
15060,22143,43175,2759,10
15061,22144,43176,2837,11
15062,22145,43176,2765,10
15063,22146,43177,2800,11
15064,22147,43177,2717,10
15065,22148,43120,2751,9
15066,22149,30107,2704,10
15067,22150,30107,2701,9
15068,22151,43178,2759,10
15069,22152,43179,2701,10
15070,22153,43179,2767,10
15071,22154,43180,2704,10
15072,22155,43181,2800,10
15073,22156,43182,2844,10
15074,22157,43183,2844,10
15075,22158,43183,2843,10
15076,22159,43183,2765,10
15077,22160,43183,2740,10
15078,22161,43183,2775,10
15079,22162,43184,2844,10
15080,22163,43184,2847,10
15081,22164,43184,2843,10
15082,22165,43184,2841,9
15083,22166,43185,2848,10
15084,22167,43186,2848,10
15085,22168,43187,2822,11
15086,22169,30934,2849,10
15087,22170,43188,2843,10
15088,22171,43188,2847,10
15089,22172,43188,2769,6
15090,22173,43189,2849,10
15091,22174,43190,2850,1
15092,22175,43190,2849,10
15093,22176,43190,2840,9
15094,22177,10194,2785,10
15095,22178,40053,2840,9
15096,22179,43191,2767,10
15097,22180,43192,2804,10
15098,22181,43169,2849,10
15099,22182,43169,2842,10
15100,22183,41423,2849,10
15101,22184,43193,2769,11
15102,22185,43194,2849,10
15103,22186,43195,2840,9
15104,22187,43081,2849,10
15105,22188,43196,2837,10
15106,22189,43196,2822,9
15107,22190,43196,2808,9
15108,22191,43197,2850,6
15109,22192,43198,2773,10
15110,22193,43199,2849,10
15111,22194,43200,2842,10
15112,22195,43201,2849,10
15113,22196,43201,2804,10
15114,22197,43202,2842,10
15115,22198,43203,2844,10
15116,22199,29314,2830,10
15117,22200,29314,2814,10
15118,22201,43204,2844,10
15119,22202,43205,2830,11
15120,22203,43206,2768,10
15121,22204,43207,2830,10
15122,22205,43208,2830,10
15123,22206,43209,2804,11
15124,22207,43210,2785,10
15125,22208,43210,2831,10
15126,22209,43211,2814,10
15127,22210,43212,2852,10
15128,22211,43213,2701,10
15129,22212,43214,2842,10
15130,22213,43215,2701,10
15131,22214,43211,2830,10
15132,22215,43216,2814,10
15133,22216,43217,2767,10
15134,22217,43218,2767,10
15135,22218,43219,2767,10
15136,22219,40053,2852,10
15137,22220,43220,2847,10
15138,22221,43220,2769,10
15139,22222,43221,2785,10
15140,22223,43222,2759,10
15141,22224,42968,2823,10
15142,22225,39565,2842,10
15143,22226,43223,2759,10
15144,22227,43224,2851,10
15145,22228,43111,2853,11
15146,22229,43225,2830,10
15147,22230,43226,2849,6
15148,22231,43227,2852,10
15149,22232,43228,2842,10
15150,22233,43229,2849,10
15151,22234,43225,2814,10
15152,22235,43116,2854,10
15153,22236,37242,2854,6
15154,22237,43022,2854,9
