PipelineID,ApplicantID,JobID,StageID
226,512,5,10
227,514,31,10
228,519,28,10
231,515,16,10
232,515,31,10
233,522,26,10
234,526,28,10
235,528,26,10
236,531,26,11
237,399,10,10
238,399,31,10
239,497,13,10
240,553,28,10
241,495,28,10
242,559,13,10
243,562,31,10
244,562,14,10
245,562,21,10
246,562,17,10
247,562,6,10
248,562,5,10
249,567,17,10
250,567,28,10
251,567,14,10
252,567,13,10
253,575,28,10
256,589,13,10
257,592,36,11
258,599,26,10
260,602,22,10
261,603,7,10
262,603,5,10
263,605,36,10
264,607,30,10
265,461,35,10
266,461,27,10
267,529,31,10
268,609,31,10
269,609,16,10
270,609,10,10
271,614,26,10
272,614,27,10
273,617,5,10
274,623,31,10
275,385,26,10
276,626,6,10
277,414,31,10
278,414,16,10
279,414,36,10
280,631,28,10
281,633,4,10
282,633,5,10
283,238,16,10
284,637,37,10
285,641,28,11
287,643,16,10
288,418,3,10
289,645,31,10
291,647,28,10
293,615,5,10
294,614,16,10
295,614,4,10
296,661,31,10
298,661,16,10
299,661,6,10
300,659,16,10
301,659,26,10
302,629,30,10
303,670,5,10
304,621,37,10
305,682,14,10
306,683,36,10
307,684,31,10
308,688,26,10
309,688,16,10
310,688,4,10
311,629,31,10
312,629,16,10
313,694,5,10
314,694,26,10
315,690,16,10
316,696,3,10
317,697,35,10
318,702,27,10
321,710,28,10
322,714,6,10
323,705,35,10
324,705,28,10
325,715,28,10
326,715,16,10
327,718,28,10
328,718,35,10
329,717,31,10
330,717,16,10
331,724,35,10
332,724,28,10
333,727,16,10
334,727,28,10
335,729,14,10
336,731,28,10
337,743,35,10
338,744,16,10
339,744,26,10
340,748,28,10
341,748,16,10
343,728,17,10
344,738,19,10
345,755,35,10
347,768,30,10
348,775,26,10
349,777,35,10
350,778,35,10
352,594,26,10
353,807,35,10
354,809,28,10
355,409,28,10
357,799,27,10
358,799,26,10
360,799,4,10
361,799,5,10
362,797,35,10
363,819,40,11
364,820,39,10
365,799,6,10
366,594,6,10
367,724,39,10
369,849,5,10
370,850,39,10
371,850,28,10
372,855,26,10
373,866,13,10
374,874,28,10
375,875,22,11
376,873,13,10
377,873,17,10
379,878,28,10
380,878,4,10
381,878,5,10
382,883,39,10
384,858,14,10
386,892,39,10
387,809,39,10
388,809,41,10
390,898,39,10
391,898,35,10
392,910,41,10
393,913,28,10
394,913,39,10
395,917,35,10
396,850,37,10
399,945,31,10
400,944,30,10
401,944,27,10
402,944,31,10
403,950,44,10
404,950,39,10
405,950,38,10
406,950,31,10
407,950,5,10
408,967,35,10
409,967,27,10
410,969,39,10
411,984,28,10
412,944,44,10
413,944,39,10
414,944,28,10
415,799,45,10
416,799,39,10
417,1010,41,10
418,1007,28,10
419,1017,35,10
420,1040,35,10
421,944,47,10
422,946,31,10
424,675,31,10
425,1052,45,10
427,1053,35,10
428,1056,28,10
429,1056,35,10
430,1057,39,10
431,1057,45,10
432,1074,35,10
433,1079,43,10
435,1085,31,10
437,1085,17,10
